"Taxa","BranchesPerTassel","BranchZoneLengthCM","BushelAcreEquivalent","CobWeightGrams","DaysToPollen","DaysToSilk","EarFilledLengthCM","EarLengthCM","EarsPerPlant","EarWidthCM","ExtantLeafNumber1","GrainPercentMoisture","HundredKernelMassGrams","KernelRowNumber","KernelsPerRow","LeafAngle","LeafLengthCM","LeafWidthCM","PlantHeightCM","TasselLengthCM","TasselSpikeLengthCM","TotalGrainMassGrams","QY_max","Fv.Fm_L1","QY_L1","NPQ_L1","qN_L1","qP_L1","Rfd_L1","NPQmaxme","NPQendme","npqslop1me","npqslop2me","af1npq","bf1npq","af2npq","bf2npq","af3npq","bf3npq","cf3npq","af4npq","bf4npq","cf4npq","phippsiiend","af3phipsii","bf3phipsii","cf3phipsii","af4phipsii","bf4phipsii","cf4phipsii","phipsiietos","phtoNPQend"
"38-11",12.17,12.55,56.3,14.26,82.5,86.5,7.415,13.165,1.0625,3.29,15.25,6.8,26.02,9.585,11.585,34.85,91.875,7.075,222.5,38.25,25.7,381.45,0.568466559888552,0.405315020247922,-0.0966002464432648,0.305805945600752,0.239169250622047,-0.085869258270409,0.283356533189468,0.246051713724324,-0.0120687824191147,0.222159832406084,-0.919054455617844,0.0993065557687341,0.272153735508827,0.275334967260201,0.0229605695075767,0.436766826408251,0.132229733525085,0.17523898814459,0.197573126982812,0.759735444975289,-0.00519815001598405,0.454171829714223,1.04894057087729,0.409759927266799,0.132214403644206,0.56611598340337,0.968461952089042,0.0528618250930279,-0.787835505442848,0.285650198593033
"3IJI1",5.165,8.68,105.35,16.54,67,69,13.79,14.25,1,4.25,11.5,8.6,23.325,15.915,27.5,30.3,74.375,8.825,149.75,35.9,27.215,713.5,-0.461100191109428,-0.681543571447599,0.0642033971191373,1.13061945274145,1.13965895586399,0.0545485875439141,1.07573670894957,-0.521261026948519,-0.511162565626235,1.15553130165557,0.0877721428613812,1.17045140842194,-0.817155377567672,-0.733879182421162,0.930385940741158,0.125342675948385,-0.466492663809552,-0.527390656130761,-0.471806153556529,0.300922368560961,-0.56334044896174,-0.29748038659617,-0.650323660129941,-0.324011405162113,0.314070060572711,-0.419608696230354,-0.641696466565324,0.408093322083447,0.341549997169781,0.469125914788735
"4226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4554_INBRED",11.5,8.035,39,6.94,62,63,9,9.415,1,3,9.5,NA,22.63,10.92,15.915,NA,58.375,7.9,122.25,24.95,16.915,263.9,-0.107899902767031,-0.190392343614114,0.217918809376266,-0.120445575882258,-0.102881931400641,0.222192263388424,-0.143788214044004,-0.814267152551408,-0.569795302180605,-0.14499329222957,0.293964518038327,-0.840906081472269,-0.536218617030731,-0.623661688488704,-0.724079340551186,-0.420788111521259,-0.764099537348394,-0.830346192266075,-0.791245812025899,-0.0413185088518985,-0.402654875289959,0.310102499635892,0.176387146759765,0.00142256992120629,0.129929052964507,-0.0179836377029775,0.113593786062301,0.186615954784203,-0.0835462693904044,0.709535856499847
"4578_INBRED",14.33,12.75,71.2,13.62,75,75.5,15.665,16.25,1,3.46,14.75,6.9,20.225,11.58,32.085,47.65,65,6.625,168,34.97,22.215,482.3,-0.128121491806453,-0.0986851391903287,0.115500197628302,-0.0518720808945292,-0.029943511308265,0.0857163001974399,0.0757826064096579,0.367882278973076,1.0756959125494,0.101466409813389,-0.123786139048254,0.432856934651533,0.301301073538058,0.327721445279651,0.280649672984634,0.136796081492365,0.0767065620937675,0.346667147449955,0.0919206353299085,0.0835836504036761,0.865650336913086,-0.707418873654289,-0.287649264511657,-0.522774766004334,-0.0648606141132897,-0.561219673504024,-0.0910284603813668,-0.0851292152614095,0.305595092690682,-0.949764012518825
"4722",13.5,12.7,40.6,14.005,82.5,84.5,14.045,14.875,1,3.205,14.25,NA,11.555,14,25.58,32.35,82.5,9.325,183,31.5,18.8,275.05,-0.174537977210467,-0.244787689689104,-0.0991640183590835,-0.0245427368131201,-0.0375967676574182,-0.0787934154635997,-0.0678173578441392,-0.00820824506826615,-0.307607702849921,0.145308913204965,0.52422208328366,-0.0564692593758557,-0.0497877888350364,-0.0518507462528569,-0.0229220530020409,-0.568975550642628,0.212757950740451,0.0429313661522058,0.1773323773585,-0.78460824984533,-0.360190028080264,0.155732534769114,-0.472516458580576,0.259404890160227,0.0148625172944082,0.22383540781527,-0.61131901644738,0.0263389414958032,0.676629094022093,0.462830874520952
"4F-234_BX_4",21.835,11.43,68,13.97,76.5,78,12.58,13.08,0.75,4.33,12.25,NA,20.49,16.33,31.17,37.1,77.875,8.575,191,32.85,21.415,460.7,-0.0445384869245525,-0.0201046931354655,0.134733434791537,-0.204616624370555,-0.20600388599837,0.00993492949785084,-0.0351971398960687,-0.398988008626293,-0.0352540774431817,-0.266191449935548,-0.191357096388525,-0.661163188983493,-0.136259890562066,-0.190770543195195,-0.478163846417394,0.358196123625629,-0.558066983932941,-0.455211194142309,-0.553988175558403,0.639520234323329,0.0961926277011146,0.21430823302261,0.884387205231599,0.0324070597780352,0.0115685920425688,0.0987274020352576,0.774380392812368,0.0199048701529042,-0.67018720101423,0.167963763459329
"4F-306_108",19.835,9.315,6.3,9.57,70,83,9.25,11.5,0.25,2.25,11.25,NA,22.12,11,25,35.2,66.125,6.25,135,27.565,18.25,42.6,0.238974138392541,-0.0518989901399594,0.0738851232139895,0.555407322727209,0.528909975736229,0.0699524418909808,0.565236981384569,0.285331784541451,0.343969175958309,0.315000778504229,-0.387321641407164,0.00993799635899839,-0.0209677419489425,-0.0117546011307627,-0.0842615032214452,0.263957128799499,0.05593354475562,0.237758594395719,0.0671064287039679,0.103506035153126,0.428839914160692,-0.0397225212471617,-0.0757083038162095,0.00319918375648783,-0.0544980052633833,-0.0131681358454066,-0.156488053973332,-0.068674555023862,-0.291788473740757,-0.187325132455162
"4N506",4.5,7.265,99.75,16.96,74.5,75,13.415,14.42,1,3.835,15.5,8.4,23.79,14.08,29,42,76.75,7.375,203.5,28.45,21.18,675.65,-0.15814665528189,-0.0969508366808473,-0.00464925166755328,-0.230704481557573,-0.21915443211005,0.0131395655209121,-0.503171944509824,-0.117513797568406,-0.548840795984329,-0.484946646582442,-0.419060354553114,-0.242321801658252,-0.0174058877996726,-0.056654295259914,-0.174274124399846,0.628672295462013,-0.0902129767687704,-0.18646806012389,-0.0804615144144473,0.61348448447869,-0.372887717354396,-0.038543692021684,0.0766891515775576,-0.092052596619867,-0.0123657925315036,-0.12578346470903,0.098970113594,0.000469327585063762,0.0442404808415536,0.60011904806337
"52220",9.835,9.735,55.75,9.51,76.5,77.5,11.46,13.46,1,3.585,12.5,NA,31.005,9.5,23.83,23.45,59.875,7.325,109.5,30.635,20.9,377.95,0.167501329839857,0.204109818381626,0.0363644190955196,-0.079328030823404,-0.0760421134558948,0.0447198341443116,-0.00484292410478661,0.388137594124352,-0.37209726997403,-0.0837213892319646,0.0794823428850894,-0.0650572500455988,0.368632058522226,0.352496193331838,-0.195854914297119,-0.205902527568004,0.751671269628028,0.469272860932555,0.740695550823703,-0.562506810429567,-0.515415208211022,0.336692875752579,-0.464865048048609,0.643844478274775,-0.0755337413936565,0.622613943065239,-0.552631433375703,-0.171445750801622,0.948038314539745,0.536571572404082
"6F629",6.665,7.8,70.4,10.22,74,77,11.75,13.5,1,3.04,11.75,8.4,25.415,12.415,22.25,37.7,73.75,9.125,177,32.885,25.085,476.8,0.622700710881709,0.207013148567828,0.0421885119786669,0.928324287888341,0.823699146113758,0.0857163370091772,0.860538589137165,1.09194429123328,-0.335817530747381,1.03388630389664,-1.40141656469452,1.00551108490192,0.77165347808089,0.896814196698707,0.909227282926628,0.599942530053047,1.01570038467562,1.0420201646473,1.09576849654002,1.1753086982872,0.0350133845992056,0.666814974610773,0.788973318548561,0.365370045277602,0.0587412326672259,0.524598234546762,0.996703658636149,0.0513647608071786,-0.808509557220194,0.615466170677581
"6M502",14,10.065,105.75,16.375,76.5,77,15.92,16.33,1,3.705,11.75,8.75,23.955,14.92,29.665,33.05,81.5,9.75,170,39.4,29.335,716.15,-0.404673246082317,-0.454598337919906,0.00521680494489112,0.39208453580375,0.406291221033547,-0.067095028888558,0.543798720371917,-0.556394178725505,0.099924010036957,0.465774866888561,0.819523166620658,0.726183251937824,-0.691792797137306,-0.623802233660733,0.634353301712317,-0.688417703125578,-0.541458382688167,-0.513212927104013,-0.552141864437348,-0.386655233070274,0.0109138833497822,-0.651437774876954,-0.716851960751253,-0.301002228330273,-0.150792208982062,-0.358480631901145,-0.588011872575845,-0.217000683495851,0.566110535186678,-0.155286575798576
"6M502A",10.5,10.315,75.95,15.515,74.5,78.5,13.205,13.955,1,3.92,11.25,8.5,22.565,15.5,22.92,29.45,78.875,9.625,166.25,39.285,28.97,514.2,-0.531111693716539,-0.724836761575523,0.0552106725830629,0.763956309299096,0.788701978739086,0.0323180784914166,0.86452218991868,0.040888823359849,0.524607679090775,0.945582162984564,0.53605103534434,0.635503063641459,-0.3063628861268,-0.18359274056116,1.07170420005067,-0.367106180630609,0.00517457292876702,0.0895886585319213,-0.0060194511972534,-0.410410994050851,0.446761325347342,-0.599706846158899,-0.650132857294342,-0.275470709868418,-0.265017553951904,-0.330298205462823,-0.507443549180021,-0.3394650359812,0.522371253405199,-0.577054271722837
"764",6,4.68,67.15,11.295,68,71,9.75,10.455,1,3.455,12,NA,25.685,14.75,18.25,29.05,61.625,7.5,147.25,25.635,20.95,454.75,-0.32583654633641,-0.192301092546259,0.0173161396042174,-0.442467995847279,-0.427232253403841,0.0983019240906509,-0.334685492301834,-0.494532699038249,0.271065295383455,-0.609419038595886,0.555255184494761,-1.07515276459645,-0.0839638561598808,-0.183693613224508,-0.873822973371875,-0.50184704539492,-0.709368555978431,-0.521764693394737,-0.730746500070988,-0.138173813670543,0.273886853169062,-0.467209711444217,0.276130430914918,-0.328148305033215,0.0379723999478519,-0.335500926849137,0.415029408231852,0.0185357108007257,-0.275593362171862,-0.285385605125551
"779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78551S",7.5,9.85,113.9,18.75,70.5,71,16.795,18.625,1,4.375,11.75,8.7,31.455,12.33,31,53.5,81.575,8.875,185.5,38.765,28.92,771.65,0.0600777024797014,0.25161810061992,0.00170308707524018,-0.737063657635197,-0.829509407210634,0.0242547100664126,-0.847936826055948,-0.213463054426568,0.220723930048635,-0.780395364290382,0.857928439038712,-0.228929011750706,-0.117148235513372,-0.159398478266342,-0.106379671777833,-0.78807539807431,-0.202137088803792,-0.156534675742239,-0.238916232134624,-0.81392783346626,0.26995227829227,-0.246704240688257,-0.474022723307563,-0.226102749960471,-0.0501751131360009,-0.281489076215284,-0.414591399812262,-0.00602804892889167,0.426572273343617,-0.192993019552143
"787",0.665,0.135,102.5,15.88,78.5,80,11.5,13.165,1,3.875,14,7.5,24.295,15,24.33,15.25,81.375,9.2,192.5,33.885,33.75,694.35,0.189814011174452,0.135527536842207,-0.0332333240082701,0.190739153764982,0.19309521691731,0.0522783345180614,0.140968520457472,-0.0958811685745939,0.147623130360234,0.215517988999489,0.458968513277687,0.0415671396474513,-0.0727268456037875,-0.0774434828775086,0.172712242324481,-0.473439907717819,-0.0620108964832375,-0.0951096504188599,-0.0865471712945949,-0.485727942995343,-0.00794638125644011,-0.138852777532464,-0.290785154600923,0.136289027090925,-0.215408482518831,0.0912439154045936,-0.339919026073177,-0.200590598201351,0.419946020468535,-0.0628659974809684
"790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"792",8,7.565,94.3,12.835,72,74,13.085,13.54,1,3.71,13.75,8.6,25.015,15.75,25.415,19.2,78.875,8,177.25,28.9,21.335,638.8,-0.070448123138043,-0.0445997451576662,0.238580474908969,-0.268726238822103,-0.275201289554804,0.187911921898591,0.127717082357111,-0.43717432694718,-0.354117521225791,-0.498800955314185,0.240177915507419,-0.561231038748163,-0.309443307313906,-0.371977323205789,-0.26828587377199,-0.238419793952439,-0.360522474020014,-0.446523017462989,-0.376022807922086,-0.0554448874004093,-0.370060727567992,0.170351779499652,0.124881683050344,0.122667573811088,0.153864164659037,0.137109226400096,0.0256171973237036,0.195985086573308,-0.0468722388676039,0.609070101029195
"793",4.835,5.985,90,14.2,70.5,73,12.08,12.415,1,4.125,14.25,7.9,26.65,15.33,22.665,24.55,77.5,7.45,186.75,29.345,23.36,609.35,-0.176889266017863,-0.189871458040778,-0.177607740072434,-0.241342093603796,-0.298000566714759,0.0276656271292638,-0.165189087712472,0.371768241680913,-0.368313085910728,-0.195614714315423,0.371014031578134,-0.251736295672606,0.591200386539226,0.565402114925606,-0.50978347578563,-0.302201327767824,0.512053813686895,0.390097421473363,0.475059660700267,-0.680275389462833,-0.181372263424836,-0.313369272351039,-0.557418452256605,0.0954345346360067,-0.479669928342645,0.0629098578194407,-0.663033030151581,-0.494429919429296,0.323361888931217,0.188771405661065
"80-2",10,6.665,58.3,12.095,64,64,12.58,13.415,1,3.75,11.5,NA,23.985,13.75,21.25,33.6,64.375,8.075,154.5,26.435,19.77,395.05,0.270784561277095,0.0329390677048713,0.0408873637224363,0.873766210790686,0.741819581876848,0.0769158651104087,0.626570118336082,0.167940944181879,0.238031016030259,0.879966299290534,-0.173194281883894,0.882554363143161,-0.0615838613741318,0.0404440654149939,0.873405532163507,0.152150023738709,0.0480793850181139,0.117207354429419,0.0461178589824903,0.0913861576007512,0.257406198889734,0.0402574060532323,0.124749456324293,-0.125614653948127,0.317101863651304,-0.120466210008525,0.129391060534822,0.328181861413902,-0.138326974179311,-0.128400926394776
"87916W",7.165,7.415,79.95,11.515,71.5,78.5,12.585,12.705,0.9375,3.5,14.5,8.85,23.315,13.585,27.585,20.4,72,8.025,199.5,25.085,17.665,541.55,0.246673835751287,0.186031461960413,0.165962219264909,-0.0630341508240432,-0.0148057066921528,0.179878169164309,-0.0766582897237065,0.796497428386783,-0.0237828565222363,-0.0366136379719017,-1.62546581640056,-0.469628034666611,1.10215930340856,1.01433421311315,-0.785723349156561,1.53909298270864,0.723623582016766,0.719961825655412,0.785542632442497,1.2341566850889,0.15312672714564,0.533740728196861,1.41582918945705,0.254833450282441,0.122755843004675,0.369232021031455,1.21073648508909,0.0892830617265735,-0.842104823946101,0.241920655851945
"904",8,9.2,83,8.585,65.5,66,9.375,10.955,1,3.71,10.25,7.8,22.175,16.085,19.335,39.95,71,8.075,137.25,33.2,24,562.4,0.283304379101036,-0.122872873012723,0.138930438439675,0.753624535159282,0.664396208452066,0.123174642558171,0.920983335108319,0.0411857072913563,-0.390494944307496,0.726600837166459,-0.278919635618166,0.530181451103914,-0.196050986655743,-0.125182612978559,0.590671694862969,0.413479884576476,0.217114887781169,0.0251252615039673,0.229686057432539,0.160440794199514,-0.478061632722176,0.34102114956667,-0.113473818658447,0.313707040260788,0.110578196847146,0.287713141562707,-0.238071246533941,0.10941492891923,0.671123431049206,0.592156088144306
"911",12.17,11.37,82.45,10.59,64.5,66.5,10.835,11.415,1,4.295,11.75,8.65,23.1,16.335,19.83,31.3,68.125,8.5,150.25,30.25,18.88,558.55,-0.428957862346571,-0.0562578385063528,0.221083100763552,-0.21228475568352,-0.186257256850645,0.252505860441928,0.179806913430811,-0.594950389165003,-0.675042796868894,0.00362548922839658,0.795307841420946,-0.13993760538146,-0.620757573671113,-0.63979221057758,0.290478851598729,-0.633432804762265,-0.236720344915105,-0.500069936000119,-0.247113601200261,-0.572873948278619,-0.896351920259295,-0.10023105327741,-0.984313092922194,0.313278292794106,-0.287809866430812,0.221070269641296,-1.06303536250411,-0.402010397523365,0.149773101677872,0.352135575761955
"912",7.335,7.25,80.65,9.7,66,66,9.71,10.375,1,3.5,11.25,8.6,27.33,13.835,19.665,32.05,62.625,7.875,144.25,25.865,18.615,546.3,0.2191956459184,-0.0694869607886435,0.225319221467775,0.859210218366107,0.788527080165273,0.211444271414857,0.982933995156825,0.605556626171258,-0.0771967175393075,0.87918359332471,-0.854567874657591,7.80922460771397e-05,0.575573228026915,0.588408036640835,-0.281706052240463,0.881651463606191,0.643667718704824,0.563629002568675,0.666428897406336,0.396488462497741,-0.256271229118212,0.248547170150373,-0.360346159353987,0.287757319027003,0.110415439443333,0.248122983931195,-0.481127507953694,0.160728213343394,0.65514329718547,0.228221631988898
"91IFC2",7.5,8.835,81.3,12.92,67,68,11.545,12.79,1,3.96,11.25,7.5,23.255,12.83,26.165,NA,64.125,7.9,164.5,36.03,27.2,550.5,-0.0187008301589294,-0.0170884391086863,0.0105641601010723,-0.0972951331089255,-0.079536142439999,0.0640124501523582,0.220727527256914,-0.086858141692818,-0.37583841930965,-0.0465634567260183,-0.962928563890992,-0.133320702912257,0.0481621139053971,0.0321613118638435,-0.0769848072919919,0.895138974901273,-0.0254406723531351,-0.147071215634499,0.0321679507759765,1.02742295466545,-0.5400007772831,0.119955648026469,0.679031018769536,-0.0548056608383373,0.00588321445381766,0.0248179619237425,0.663770242706385,-0.0161238266058649,-0.509574846524919,0.444071029585936
"A",14.335,11.27,47.25,10.59,74,77.5,11.79,12.795,1,3.915,15.5,NA,22.745,14.42,20.17,58.9,81.375,7.275,199.25,30.75,19.485,319.95,-0.0411188813538831,-0.219039682519797,0.0183125789919834,0.462122936669517,0.463088197904911,0.0218101999929138,0.657871129638085,0.0999668594973567,0.899695016232499,0.677208244793136,0.096923360417967,0.420787082077393,-0.0750581498186379,-0.0268290688621783,0.47915217088173,-0.179106944513407,-0.293606555300149,0.0974795256058268,-0.0214187197170959,-0.0201491302400528,1.01347783331739,-0.410930090102159,-0.599172779008635,-0.556035150321518,-0.00537109511157719,-0.632768534162792,-0.365093887276074,0.0374355944601147,0.36964585200047,-0.833619259590576
"A12",10.5,8.45,47.9,17.005,64,65.5,8.54,9.67,1,3.96,12,NA,23.8,15.085,18.5,NA,70.75,7.75,158.75,34.315,25.865,324.5,0.0747584743595473,0.0573595357016808,0.241920655451651,-0.0736423103479895,-0.0340641075317852,0.184123579532324,-0.151133781942699,0.131881444132561,0.111712892857085,-0.118766055161968,-0.181035563828769,-0.202787121744764,0.240247578278323,0.20072510626154,-0.232548546288604,0.286000797514597,0.103118971067372,0.110004747632125,0.107214128008118,0.170461793564307,0.0486058574724096,0.0319381695092537,-0.16951509653127,0.0888132537999994,-0.0821545539439359,0.0756609260880494,-0.237838935481032,-0.0618884386215981,0.356102575280793,0.00726281772761039
"A15",7,6.5,47.3,12.4,60,61,9.79,10.375,1,3.625,9.5,NA,15.93,15.75,21,NA,60.125,7.3,159.5,30.08,23.585,320.4,-0.428564823821537,-0.29215797108874,0.245833143456466,-0.322008904142069,-0.330330971976132,0.188165657825217,-0.124287739992375,-1.76699314792098,-1.97869445649769,-0.132871981888349,0.413588162219799,-1.22482046227167,-1.42953368511174,-1.55597005236164,-0.46800030655136,-0.12663191349962,-1.46240830476977,-1.513366442512,-1.47443087653672,0.734397737519072,-1.35484643078138,0.337691947578732,0.519736364582129,-0.13309803668273,0.323040935736262,-0.105309271713647,0.489405924515934,0.360882529447848,-0.429633615507557,0.482458919460309
