ID,Species,Group,Group_As_On_Fig2,Source,Proportion_Heterozygous,PC1,PC2,PC3,PC4,PC5,PC6
5237,Z. mays,Huangzaosi,Huangzaosi (China),Wang et al. 2020,0.0282,0.00570948,-0.0275016,0.0227233,-0.0151883,0.0100944,0.0117776
5A1,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20456,-0.0704814,-0.00305041,0.00575489,0.0657949,-0.0312149,0.0121521
5A10,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.25343,-0.0453083,-0.00485625,0.0116043,0.00320678,0.00995029,-0.014124
5A11,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.23853,-0.0414509,-0.00657236,0.00994126,-0.00472001,0.0141493,-0.0124824
5A2,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.13787,-0.0706502,-0.00291868,0.00516454,0.0644153,-0.0309561,0.0111761
5A3,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.18115,-0.0713999,-0.00366584,0.00424031,0.0661663,-0.0305304,0.0143624
5A4,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.18686,-0.0722645,-0.00334108,0.0049767,0.067641,-0.0343445,0.0135924
5A5,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20204,-0.0686049,-0.00153523,0.00473202,0.0622413,-0.0296353,0.0113086
5A6,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.18891,-0.0712782,0.000676609,0.0055814,0.0689572,-0.0322862,0.0157102
5A7,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20154,-0.0699981,-0.00160236,0.00519345,0.0644688,-0.0294573,0.0150743
5A8,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.22019,-0.0542883,-0.00304052,0.00540157,0.0166193,-0.00174675,-0.00492985
5A9,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.23377,-0.0474538,-0.00451478,0.00937008,0.0148892,0.00308445,-0.00517196
5B2,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.2507,-0.0424106,-0.00496667,0.0115233,-0.00115382,0.0117329,-0.0140633
5B3,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.24645,-0.0439821,-0.00704714,0.00992712,0.000739289,0.0118127,-0.0140132
5B4,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.23382,-0.0410055,-0.00561745,0.00932428,-0.00385306,0.013933,-0.0151155
5B5,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.24566,-0.0441071,-0.00567684,0.00790625,-0.00305765,0.0141312,-0.0140506
5B6,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.22952,-0.0427671,-0.00480696,0.0087268,-0.00221141,0.0117071,-0.0120636
5B7,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.19525,-0.0701946,-0.00174452,0.00673991,0.0669953,-0.0313516,0.0140073
5B8,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.18734,-0.0682494,0.000252115,0.00689025,0.0664727,-0.0301883,0.0141981
5B9,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.14407,-0.0690629,-6.2769e-05,0.00511659,0.0624787,-0.0306846,0.0130975
5C1,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.23345,-0.0521865,-0.00253445,0.00549942,0.017505,-0.000566442,-0.00410944
5C10,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.24362,-0.0455748,-0.00605189,0.01303,0.0137644,0.00206665,-0.00804677
5C11,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.23076,-0.0508809,-0.00177102,0.00641175,0.0125373,0.00169971,-0.00625634
5C12,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.22435,-0.0546685,-0.00242067,0.00564265,0.0193998,-0.00138381,-0.00606036
5C2,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.23919,-0.0515325,-0.00255102,0.00569611,0.0142077,0.000284869,-0.0050364
5C3,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.22562,-0.0512991,-0.00252336,0.00716252,0.0140444,0.00091992,-0.00876338
5C4,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.24855,-0.0445674,-0.0062607,0.0100472,0.000139151,0.00983331,-0.0145086
5C5,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.2451,-0.0411957,-0.00686766,0.0111851,-0.00445869,0.0141708,-0.0145377
5C6,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.24673,-0.0428052,-0.0054789,0.00785016,-0.00257475,0.0119551,-0.014894
5C7,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.25134,-0.0457033,-0.00597259,0.00921893,0.00961876,0.00633229,-0.00542179
5C8,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.24376,-0.0457733,-0.00361175,0.010389,0.0109594,0.00292892,-0.00180423
5C9,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.2175,-0.0430997,-0.00539779,0.0123169,0.00310271,0.0111677,-0.0117552
5D1,Z.  perennis,Z.  perennis,Wild relatives,"Chen et al., 2022",0.13426,-0.0703765,0.0318964,-0.0476475,-0.0653638,0.00888139,0.00559517
5D10,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.30069,-0.0445762,-0.00378776,0.0127147,0.0172724,-5.17246e-06,-0.00114927
5D11,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.24716,-0.0465509,-0.00469655,0.0130596,0.0126813,0.00340622,-0.00844404
5D12,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.25227,-0.0423433,-0.00891022,0.0134928,0.00620015,0.00933469,-0.00909776
5D2,Z.  perennis,Z.  perennis,Wild relatives,"Chen et al., 2022",0.1658,-0.0704648,0.0288548,-0.0428578,-0.0529739,0.00526156,0.00740374
5D3,Z. diploperenis,Z. diploperenis,Wild relatives,"Chen et al., 2022",0.09725,-0.0704398,0.0342606,-0.0522931,-0.0720573,0.00991739,0.00828491
5D4,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.15727,-0.0420369,-0.0047067,0.00527259,-0.00891131,0.0162016,-0.0121667
5D5,Z. luxurians,Z. luxurians,Wild relatives,"Chen et al., 2022",0.07687,-0.0674228,0.0385384,-0.0615224,-0.110435,0.0260125,0.00289416
5D7,Z. diploperenis,Z. diploperenis,Wild relatives,"Chen et al., 2022",0.09115,-0.069048,0.0315822,-0.0486004,-0.0693811,0.00953683,0.00949058
5D8,Z. nicaraguensis,Z. nicaraguensis,Wild relatives,"Chen et al., 2022",0.07352,-0.068175,0.039697,-0.0638407,-0.114299,0.025978,0.00384623
5D9,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.19253,-0.073619,-0.000584055,0.00381063,0.0689992,-0.0327333,0.0148596
5E1,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.24478,-0.0456046,-0.0054277,0.00840163,0.00633999,0.0076776,-0.00767
5E10,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.15045,-0.0549119,-0.00507625,0.00760277,0.0447863,-0.0159806,0.0127183
5E11,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.15257,-0.0579483,-0.00408372,0.00816962,0.0465728,-0.0175064,0.0089964
5E12,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.17358,-0.0613094,-0.00306242,0.0074807,0.0499306,-0.0216298,0.00552774
5E2,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.22639,-0.0421294,-0.00390747,0.00834226,-0.00797672,0.0154255,-0.0154711
5E3,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.24046,-0.0439065,-0.0044722,0.010679,-0.00391177,0.0147857,-0.016217
5E5,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.24901,-0.043502,-0.00581689,0.0106329,-0.00299699,0.0148239,-0.0161983
5E6,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.23301,-0.0425483,-0.006207,0.00945229,-0.00198257,0.015584,-0.0146149
5E7,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.19954,-0.0717011,-5.32451e-05,0.00396089,0.0672338,-0.0313027,0.0170937
5E8,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.21014,-0.0735912,-0.00199887,0.00382289,0.0677769,-0.0322496,0.0141476
5E9,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.18341,-0.070946,-0.00132958,0.00653982,0.067713,-0.0341018,0.0141855
5F1,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.22105,-0.0600092,-0.00186547,0.00822241,0.0464219,-0.0190485,0.00845639
5F10,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20475,-0.0720101,-0.0015609,0.00452847,0.065665,-0.0326723,0.0145245
5F11,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.15461,-0.0496675,-0.00350692,0.00722197,0.00981124,0.0049259,-0.0100386
5F12,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.21402,-0.0698307,-0.00204066,0.00485644,0.0632096,-0.0297276,0.0122531
5F2,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.22238,-0.0607719,-0.0037192,0.00694684,0.0474778,-0.0193149,0.00650282
5F3,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.1949,-0.0603013,-0.00283257,0.00997789,0.0441125,-0.0147174,0.00690808
5F4,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.22419,-0.0587019,-0.0054614,0.00894951,0.0469444,-0.0184304,0.00304396
5F5,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20696,-0.0628958,-0.00226152,0.00512307,0.0511566,-0.0208295,0.0083162
5F6,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20622,-0.0614479,-0.00266256,0.0062306,0.0478799,-0.0194016,0.00653137
5F7,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20166,-0.0703266,-0.00166372,0.0053398,0.0641092,-0.0309783,0.0143984
5F8,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.22927,-0.0553682,-0.00269795,0.00216909,0.0169229,-0.00215645,-0.00343768
5F9,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.12723,-0.0520026,-0.00195558,0.00382676,0.0133047,0.000502494,-0.00633716
5G1,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20045,-0.0717597,-0.00175783,0.00511639,0.0669684,-0.0329393,0.0139537
5G10,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.15465,-0.0586844,-0.00391458,0.00563876,0.0397354,-0.0184421,-0.000104536
5G11,teo_mix,teo_mix,Wild relatives,"Chen et al., 2022",0.2182,-0.0545833,-0.00292298,0.00786765,0.0315143,-0.0124974,0.00188264
5G12,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20201,-0.0629134,-0.00300544,0.00720739,0.0502894,-0.0217247,0.00753111
5G2,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20643,-0.071908,-0.000722472,0.00560208,0.0700301,-0.0333021,0.0139689
5G3,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.21139,-0.0708497,-0.0027691,0.00613295,0.067149,-0.0298377,0.0116572
5G6,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.19876,-0.0728765,-0.000366631,0.00400941,0.0676018,-0.0321691,0.0145852
5G7,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.19366,-0.0725093,-0.000545424,0.00262294,0.0668177,-0.0315383,0.0162657
5G8,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20297,-0.0689871,-0.00297016,0.005666,0.0649789,-0.0294529,0.0125829
5G9,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.18629,-0.0575213,-0.00358364,0.00630824,0.0403493,-0.017415,0.00439669
5H1,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20624,-0.0656702,-0.00169309,0.00441751,0.0503684,-0.0232132,0.0093217
5H10,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.24755,-0.0457866,-0.00513559,0.00867886,0.00260641,0.00830999,-0.0140243
5H11,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.24896,-0.0457489,-0.004281,0.00975955,0.00428434,0.0102253,-0.0141476
5H12,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.2372,-0.0428836,-0.00518765,0.0096059,-0.00300084,0.0131579,-0.0156221
5H2,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.11801,-0.067076,-0.000914089,0.0037875,0.0583549,-0.0267511,0.0145797
5H3,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.2096,-0.0727969,-0.00098679,0.00481526,0.0687736,-0.0326074,0.0158088
5H4,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.21086,-0.0707733,-0.00248734,0.00383884,0.0664739,-0.030817,0.0139359
5H5,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.203,-0.073339,-0.00274606,0.00442793,0.0694375,-0.0333055,0.0165385
5H6,teo_mix,teo_mix,Wild relatives,"Chen et al., 2022",0.21203,-0.055573,-0.00105098,0.00505282,0.0235027,-0.00453153,-0.000673884
5H7,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.2267,-0.0458064,-0.0060789,0.00804708,0.00420052,0.00843888,-0.0110097
5H8,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.25679,-0.0457226,-0.00661906,0.0115665,0.0122235,0.00448658,-0.0060526
5H9,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.25316,-0.0428687,-0.00533052,0.00774995,-0.00247357,0.0134006,-0.0111275
618,Z. mays,NSS,Huangzaosi (China),Wang et al. 2020,0.02599,0.0101815,-0.0216385,0.00409905,-0.0120941,-0.0198714,0.00136994
698_3,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02246,0.010776,0.0108008,0.0152493,-0.00645881,-0.00610852,0.0178001
6A1,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.18848,-0.063731,-0.00511453,0.00887073,0.0551501,-0.0233443,0.00983595
6A10,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.185,-0.0675425,-0.00222077,0.00690196,0.063023,-0.0307779,0.013892
6A11,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.19258,-0.0691167,-0.00224404,0.00657877,0.0648235,-0.0294612,0.0131819
6A12,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.25418,-0.0530496,-0.00825172,0.0128374,0.044833,-0.0167466,0.00488394
6A2,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20984,-0.0719214,-0.00201215,0.00469703,0.0666276,-0.0299467,0.0149153
6A3,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.18314,-0.0688058,-0.0020317,0.00728622,0.0636661,-0.0299253,0.0138039
6A4,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20595,-0.0732455,-0.00190685,0.00404568,0.0687722,-0.0326491,0.0147258
6A5,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20668,-0.069527,-0.00181953,0.00493849,0.0641783,-0.030409,0.0114079
6A6,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.22174,-0.061907,-0.00396639,0.0083333,0.0492137,-0.0196289,0.0075768
6A7,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20342,-0.0606186,-0.00534606,0.00917649,0.0544756,-0.021608,0.00934386
6A8,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20014,-0.0679156,-0.0046062,0.00532602,0.063082,-0.0282714,0.0106602
6A9,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.2105,-0.0655484,-0.00450162,0.00542589,0.0601837,-0.0272038,0.0129192
6B10,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20289,-0.0726452,-0.00210452,0.00492377,0.0672936,-0.0317924,0.0145657
6B11,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20991,-0.0733369,-0.000998725,0.00385039,0.0672626,-0.032241,0.0124065
6B12,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20805,-0.0723987,-0.00117613,0.00404521,0.0663419,-0.0315023,0.012796
6B2,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20951,-0.0706166,-0.00101267,0.00550864,0.0661716,-0.0309844,0.0145586
6B3,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.19763,-0.0733837,-0.00137812,0.0057403,0.0699173,-0.0339526,0.0149582
6B4,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.18064,-0.0717621,-0.00165515,0.00426612,0.0690279,-0.0331765,0.01569
6B5,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.19879,-0.0687777,-0.00162785,0.00699731,0.0638426,-0.0286286,0.0146068
6B6,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.2087,-0.0712957,-0.00133558,0.00496272,0.0673819,-0.0309352,0.0156096
6B7,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20705,-0.0729964,-0.00137782,0.00310852,0.0674287,-0.0323374,0.0138777
6B8,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.21088,-0.070952,-0.00155139,0.0041597,0.0657543,-0.0309566,0.0158013
6B9,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20714,-0.0735476,-0.0015182,0.00301322,0.0685675,-0.0331684,0.0146409
6C1,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.21029,-0.0695027,-0.00161328,0.0049309,0.0631681,-0.0293223,0.0138934
6C10,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.23439,-0.0456655,-0.00659819,0.00955627,-0.000389912,0.0140497,-0.0163017
6C11,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.23972,-0.0430455,-0.00373045,0.0120241,-0.0010935,0.0136388,-0.0113138
6C12,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.21264,-0.0460894,-0.004382,0.0103941,7.93873e-05,0.0114679,-0.0143397
6C2,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.21672,-0.0691228,-0.00369969,0.0055706,0.0648698,-0.0302158,0.0119097
6C3,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.21633,-0.0678769,-0.00311455,0.00735692,0.0646035,-0.0281725,0.0103364
6C4,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20562,-0.0724249,-0.00286964,0.00351326,0.0669778,-0.0334454,0.0112418
6C5,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.2144,-0.0663432,-0.00281835,0.00713112,0.0632001,-0.0285828,0.0123926
6C6,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.21144,-0.063639,-0.00228462,0.00785953,0.0578043,-0.0244809,0.0109145
6C7,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.19988,-0.0711499,-0.000446317,0.00569195,0.0659856,-0.0316865,0.0134934
6C8,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.21384,-0.0658325,-0.00177938,0.00803337,0.0593127,-0.0259429,0.0127533
6C9,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.20772,-0.0576591,-0.00518112,0.00873671,0.0499174,-0.0192368,0.00881057
6D1,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.21593,-0.0432276,-0.00667285,0.0101638,-0.00106089,0.0133074,-0.0184869
6D10,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.24575,-0.0431677,-0.00561479,0.00960694,-0.0017555,0.0124206,-0.015855
6D11,Z. mexicana,Z. mexicana,Z. mexicana,"Chen et al., 2022",0.21731,-0.0636481,-0.00437512,0.00734678,0.0580464,-0.025554,0.00903226
6D12,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.21272,-0.0413767,-0.00734507,0.011424,-0.00293898,0.0138737,-0.0141612
6D2,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.24775,-0.0431994,-0.00442429,0.0101187,-0.00308561,0.0146805,-0.0164254
6D3,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.19906,-0.0432325,-0.00740824,0.0129301,0.0100636,0.0050891,-0.0090861
6D4,Z. parviglumis,Z. parviglumis,Z. parviglumis,"Chen et al., 2022",0.22782,-0.0434595,-0.00591903,0.0118347,0.0095115,0.00711799,-0.0087088
