VCFname,Uniform_Name,Species,Subpopulation,Group,Source,CountryOfOrigin,HeteroticGroup,ImprovementEra,Latitude,Longitude,Notes,Proportion_Heterozygous,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,IsBugeater,ShortName
2MA22,2MA22,Z.mays,Mixed,Other,Qiu et al. 2021,USA,NA,NA,NA,NA,NA,0.03446,-0.00462428,0.0387131,-0.00764288,-0.00758584,0.0130595,-0.00546466,-0.0125623,-0.000653186,0.0153606,0.03536,yes,WiDivCore
2MCDB,2MCDB,Z.mays,NSS,NSS,Qiu et al. 2021,USA,NA,NA,NA,NA,NA,0.02902,-0.00258169,0.0371933,-0.00746409,-0.0125015,0.00975484,-0.00315848,-0.0145992,0.00440538,0.0183098,0.0463066,yes,WiDivCore
32,32,Z.mays,SS,Huangzaosi (China),Wang et al. 2020,China,NA,NA,NA,NA,NA,0.01609,0.0347637,-0.0279308,0.0202002,-0.0214936,0.00672789,0.00961036,0.0287253,0.00842957,-0.00104695,0.00765572,no,CN
33-16,3316,Z.mays,Broad origin-public,Other,Qiu et al. 2021,USA,NonStiffStalk,PublicBreeding,NA,NA,NA,0.02994,-0.00501963,0.0275536,-0.00713278,-0.00490202,0.00394345,-0.00999962,-0.03045,-0.00359182,0.00237146,-0.00467073,yes,WiDivCore
334_1,3341,Z.mays,NSS,Huangzaosi (China),Wang et al. 2020,China,NA,NA,NA,NA,NA,0.04487,0.0143085,-0.00517187,-0.0068517,-0.0182671,-0.00928014,0.00472144,-0.0230408,-0.0169632,0.0230992,0.0323378,no,CN
38-11,3811,Z.mays,Broad origin-public,Other,Bukowski et al. 2018,USA,NonStiffStalk,PublicBreeding,NA,NA,NA,0.03499,-0.00817219,0.0249937,-0.0265912,0.0344245,0.0288882,0.0070765,-0.00506129,0.037243,0.00173461,0.0283765,yes,GB
3H_2,3H2,Z.mays,Mixed,Huangzaosi (China),Wang et al. 2020,China,NA,NA,NA,NA,NA,0.02644,0.017807,-0.00763197,-0.00286929,-0.030248,-0.00840182,0.0080299,-0.0108589,-0.0217756,0.021019,0.022038,no,CN
3IJI1,3IJI1,Z.mays,IDT,IDT,Qiu et al. 2021,USA,NA,NA,NA,NA,NA,0.032,0.00220492,0.0611111,0.0320585,0.0843451,-0.0879831,0.0331777,0.0231336,0.0115988,-0.0101482,-0.00918549,yes,WiDivCore
4112,4112,Z.mays,Mixed,Huangzaosi (China),Wang et al. 2020,China,NA,NA,NA,NA,NA,0.02203,0.0238796,-0.00734095,0.0113353,-0.0243744,0.0033891,0.00418654,0.00425482,-0.0186109,0.00943311,-0.00254528,no,CN
4226,4226,Z.mays,Broad origin-public,Other,Qiu et al. 2021,USA,NonStiffStalk,PublicBreeding,NA,NA,NA,0.03176,-0.00927907,0.0330234,-0.012517,0.0113046,0.0114734,-0.00622502,-0.0168145,0.00515753,0.000377929,0.00295107,yes,WiDivCore
434,434,Z.mays,Mixed,Huangzaosi (China),Wang et al. 2020,China,NA,NA,NA,NA,NA,0.02749,0.0129016,0.000770825,0.00100185,-0.02221,3.29676e-05,-0.00616719,-0.0312418,-0.00152919,0.0130201,0.0174358,no,CN
444,444,Z.mays,HZS,Huangzaosi (China),Wang et al. 2020,China,NA,NA,NA,NA,NA,0.02439,0.0113084,-0.0109765,-0.017103,-0.0319045,-0.0210872,0.010399,-0.0418489,-0.0692977,0.0347345,-0.00539471,no,CN
446,446,Z.mays,NSS,Huangzaosi (China),Wang et al. 2020,China,NA,NA,NA,NA,NA,0.02832,0.0157719,0.00909192,-0.0013938,-0.0459048,-0.0135639,0.00814543,-0.0336014,-0.0161094,0.050578,0.0886142,no,CN
4554_INBRED,4554INBRED,Z.mays,Sweet corn,Other,This Study,Hungary,NA,NA,NA,NA,NA,0.05297,0.0108197,-0.0205112,-0.00914211,-0.018049,-0.0194615,0.00219743,-0.0373864,0.0215367,-0.0104187,-0.0179713,yes,Nebraska
4578_INBRED,4578INBRED,Z.mays,Mixed,Other,This Study,Hungary,NA,NA,NA,NA,NA,0.02309,0.00959517,-0.00736572,-0.0159216,-0.0291166,-0.0105681,0.0117646,-0.000822092,-0.00296246,-0.00775411,-0.0248085,yes,Nebraska
4722,4722,Z.mays,Popcorn,Other,Bukowski et al. 2018,USA,Popcorn,NA,NA,NA,NA,0.02872,-0.00835657,0.00276102,-0.0315572,0.023732,0.0181759,0.00374484,-0.0127559,0.0491202,-0.0112097,0.0135955,yes,GB
485,485,Z.mays,NSS,Huangzaosi (China),Wang et al. 2020,China,NA,NA,NA,NA,NA,0.02907,0.0102993,0.0181664,-0.00562838,-0.0783229,-0.00736516,0.0236455,0.0487457,0.00289251,-0.02509,-0.0541505,no,CN
488,488,Z.mays,Mixed,Huangzaosi (China),Wang et al. 2020,China,NA,NA,NA,NA,NA,0.02251,0.0242728,-0.0157005,0.00428717,-0.0232399,-0.00882338,0.0128083,-0.00212412,-0.0248292,0.0127295,-0.00601313,no,CN
48_2,482,Z.mays,Mixed,Huangzaosi (China),Wang et al. 2020,China,NA,NA,NA,NA,NA,0.07599,-0.000265733,-0.00138678,-0.0183677,-0.0109304,-0.00449428,-0.000869074,-0.025433,-0.0294242,0.00795623,-0.0133265,no,CN
4F-234_BX_4,4F234BX4,Z.mays,Mixed,Other,This Study,Argentina,NA,NA,NA,NA,NA,0.08033,0.0106463,-0.023172,-0.0181423,-0.00724563,-0.0146009,0.00818907,-0.0155165,-0.0169515,0.00290836,-0.0139352,yes,Nebraska
4F-306_108,4F306108,Z.mays,Tropical,Tropical,This Study,Argentina,NA,NA,NA,NA,NA,0.02982,0.00329051,-0.0174232,-0.0182822,-0.0113702,-0.0136934,0.00215441,-0.0201429,-0.0154368,0.000247598,-0.0187347,yes,Nebraska
4F-35_BK,4F35BK,Z.mays,Tropical,Tropical,Qiu et al. 2021,Argentina,NA,NA,NA,NA,NA,0.03793,-0.0176861,0.00911969,-0.029849,0.00312428,0.00273065,-0.0063818,-0.015471,-0.0187075,0.000393108,-0.011124,no,WiDivCore
4F1,4F1,Z.mays,NSS,Huangzaosi (China),Wang et al. 2020,China,NA,NA,NA,NA,NA,0.0293,0.010576,0.0189591,-0.00344402,-0.0646523,-0.00870575,0.0184151,0.0311319,0.00356383,-0.0114901,-0.0235647,no,CN
4N506,4N506,Z.mays,SS,SS,Bukowski et al. 2018,USA,NA,NA,NA,NA,NA,0.00443,0.0473463,-0.0487015,0.0280156,-0.00140024,0.00567092,0.00652208,0.0245089,0.0242597,0.00193624,0.0251355,yes,HapMap3
5005,5005,Z.mays,Mixed,Huangzaosi (China),Wang et al. 2020,China,NA,NA,NA,NA,NA,0.03081,0.0103505,0.00513328,-0.0065967,-0.0199675,-0.0131699,0.0116619,-0.00895649,-0.0297403,0.0127067,-0.00685107,no,CN
515,515,Z.mays,HZS,Huangzaosi (China),Wang et al. 2020,China,NA,NA,NA,NA,NA,0.02429,0.0125805,-0.011867,-0.00965878,-0.01839,-0.0104004,0.0035271,-0.0278307,-0.0488186,0.0204292,-0.0103861,no,CN
52220,52220,Z.mays,Mixed,Other,This Study,China,NA,NA,NA,NA,NA,0.02385,0.00769122,-0.0121059,-0.0190857,-0.00976563,-0.0139078,0.0062669,-0.0231082,-0.0412058,0.0105793,-0.0265392,yes,Nebraska
5237,5237,Z.mays,HZS,Huangzaosi (China),Wang et al. 2020,China,NA,NA,NA,NA,NA,0.0282,0.00372017,-0.00161782,-0.0205665,-0.0367533,-0.0231084,0.00745831,-0.0484623,-0.0841957,0.0319998,-0.0275776,no,CN
5A1,5A1,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.20456,-0.040384,-0.0234677,0.0143694,-0.0167782,-0.0403252,-0.0667048,0.0213818,-0.0104943,-0.00541751,0.0170395,No,Teosinte
5A10,5A10,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.25343,-0.0307321,-0.0208398,0.00642832,-0.0126739,-0.0244257,-0.0279914,-0.00850393,-0.00984753,-0.0140379,-0.00490828,No,Teosinte
5A11,5A11,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.23853,-0.0465065,-0.0101034,-0.00654492,0.00596985,-0.00744464,-0.0228516,0.00329837,0.000824709,-0.0190751,-0.000297778,No,Teosinte
5A2,5A2,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.13787,-0.0418772,-0.02163,0.0138896,-0.0160015,-0.0375622,-0.0652097,0.0206227,-0.00839507,-0.00476553,0.0163259,No,Teosinte
5A3,5A3,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.18115,-0.0416708,-0.0221355,0.013996,-0.0154272,-0.0400683,-0.0652741,0.0223914,-0.0113468,-0.00581209,0.0177325,No,Teosinte
5A4,5A4,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.18686,-0.0413079,-0.0231129,0.0144018,-0.0175098,-0.0385191,-0.0648992,0.0208409,-0.00985972,-0.00468539,0.0172229,No,Teosinte
5A5,5A5,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.20204,-0.050421,-0.0207732,0.00325542,-0.000383534,-0.025714,-0.0631654,0.0365506,0.00189478,-0.00472163,0.0272166,No,Teosinte
5A6,5A6,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.18891,-0.0418523,-0.0277371,0.00551489,-0.000324724,-0.0276446,-0.055866,0.037987,0.00490371,-0.00658991,0.0262763,No,Teosinte
5A7,5A7,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.20154,-0.049617,-0.021001,0.00267728,0.000715494,-0.025244,-0.06252,0.0379477,0.00231588,-0.00427026,0.0281377,No,Teosinte
5A8,5A8,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.22019,-0.0355395,-0.0221239,0.0118689,-0.0143537,-0.0287786,-0.0344736,-0.00188621,-0.00703713,-0.0106645,-0.00208398,No,Teosinte
5A9,5A9,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.23377,-0.0441032,-0.0125694,-0.00637933,0.00697642,-0.00997857,-0.0301566,0.0129702,0.00161948,-0.0106735,0.00675845,No,Teosinte
5B2,5B2,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.2507,-0.0424928,-0.0150599,-0.00450655,0.00373262,-0.00876838,-0.023835,0.00414466,0.00362469,-0.0184932,0.00225628,No,Teosinte
5B3,5B3,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.24645,-0.0323036,-0.0189494,0.00656877,-0.0143504,-0.0254249,-0.0265614,-0.0117627,-0.0102571,-0.0170264,-0.00858218,No,Teosinte
5B4,5B4,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.23382,-0.033594,-0.0181908,0.0040535,-0.0112769,-0.0225664,-0.0248614,-0.0100538,-0.0076514,-0.0177278,-0.00853751,No,Teosinte
5B5,5B5,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.24566,-0.045085,-0.0121973,-0.00287808,0.00274623,-0.0118055,-0.0249907,0.0018614,0.00112029,-0.0190742,0.00023911,No,Teosinte
5B6,5B6,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.22952,-0.043511,-0.0132631,-0.00303401,0.0024169,-0.00987931,-0.0251113,0.00253166,0.00109037,-0.0181737,-0.000487062,No,Teosinte
5B7,5B7,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.19525,-0.0356073,-0.0271144,0.0120275,-0.0149634,-0.0376521,-0.0605223,0.0216721,-0.00809837,-0.00662389,0.0164613,No,Teosinte
5B8,5B8,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.18734,-0.0370121,-0.02871,0.00537414,-0.00275788,-0.0283451,-0.0547114,0.0341691,0.00334281,-0.00729665,0.0235872,No,Teosinte
5B9,5B9,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.14407,-0.051915,-0.0213856,0.00395004,0.00185771,-0.0246821,-0.0614603,0.0402867,0.00458514,-0.00417359,0.0277097,No,Teosinte
5C1,5C1,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.23345,-0.0340807,-0.0223561,0.0108627,-0.01361,-0.0273302,-0.0353814,-0.000461033,-0.00771452,-0.0103568,-0.00145384,No,Teosinte
5C10,5C10,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.24362,-0.0316642,-0.0184797,0.00304565,-0.0109073,-0.0230737,-0.0332276,-0.00225209,-0.00984948,-0.0130721,-0.00287698,No,Teosinte
5C11,5C11,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.23076,-0.0443549,-0.0172586,0.000967407,0.00251133,-0.0143373,-0.0310204,0.0122018,0.004198,-0.0112456,0.007204,No,Teosinte
5C12,5C12,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.22435,-0.0333045,-0.0237672,0.011823,-0.014867,-0.0278235,-0.0345207,0.000607516,-0.00615465,-0.0108598,0.000278258,No,Teosinte
5C2,5C2,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.23919,-0.044783,-0.0172325,-5.81947e-05,0.00222033,-0.0135867,-0.0301181,0.0127312,0.00473375,-0.0112167,0.00603781,No,Teosinte
5C3,5C3,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.22562,-0.0324588,-0.0229137,0.0112453,-0.012974,-0.0266085,-0.0324645,0.000621649,-0.00568229,-0.0116154,0.000259118,No,Teosinte
5C4,5C4,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.24855,-0.0348439,-0.0167614,0.00612147,-0.0119378,-0.0231926,-0.0275835,-0.00849619,-0.00906856,-0.0181981,-0.00574905,No,Teosinte
5C5,5C5,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.2451,-0.0314988,-0.0183779,0.00624591,-0.0133248,-0.0224566,-0.0261489,-0.0127206,-0.0118342,-0.0176741,-0.00925647,No,Teosinte
5C6,5C6,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.24673,-0.0322781,-0.0199286,0.00662824,-0.0136363,-0.0251087,-0.0268852,-0.0103289,-0.00888731,-0.0156256,-0.00619646,No,Teosinte
5C7,5C7,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.25134,-0.0439386,-0.0117559,-0.00459477,0.00229551,-0.0134121,-0.0294257,0.00777004,-0.00255231,-0.0135527,0.00280147,No,Teosinte
5C8,5C8,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.24376,-0.0402827,-0.0154917,-0.0047246,0.00391178,-0.010129,-0.0258928,0.0128004,0.000359236,-0.0108528,0.00422151,No,Teosinte
5C9,5C9,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.2175,-0.0319912,-0.0206768,0.00317447,-0.0088648,-0.0205589,-0.0244842,-0.00277934,-0.00500637,-0.0147016,-0.00396866,No,Teosinte
5D1,5D1,Z. perennis,Z. perennis,Wild relatives,"Chen et al., 2020",NA,NA,NA,NA,NA,NA,0.13426,-0.0767754,-0.0267187,0.0609567,-0.00119817,0.0253992,0.0451711,0.00714648,0.0499144,0.131637,-0.0517906,No,Teosinte
5D10,5D10,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.30069,-0.0375831,-0.0167206,-0.00474155,0.00223171,-0.0131937,-0.0301007,0.0118688,-0.00270555,-0.0107357,0.0062645,No,Teosinte
5D11,5D11,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.24716,-0.0413116,-0.0154486,-0.00546538,0.00398254,-0.0111722,-0.0299141,0.00933336,0.000295914,-0.0113069,0.00305402,No,Teosinte
5D12,5D12,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.25227,-0.0429767,-0.010225,-0.00818608,0.00329932,-0.0109359,-0.0283833,0.00326026,-0.00420293,-0.0133869,-0.00142926,No,Teosinte
5D2,5D2,Z. perennis,Z. perennis,Wild relatives,"Chen et al., 2020",NA,NA,NA,NA,NA,NA,0.1658,-0.0710834,-0.0271487,0.0551144,-0.00109014,0.0202141,0.0385462,0.00833477,0.0413917,0.111837,-0.0419021,No,Teosinte
5D3,5D3,Z.diploperenis,Z.diploperenis,Wild relatives,"Chen et al., 2020",NA,NA,NA,NA,NA,NA,0.09725,-0.0814108,-0.0248818,0.0655817,-0.00068491,0.0305837,0.0522877,0.00723412,0.0549343,0.152223,-0.0613442,No,Teosinte
5D4,5D4,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.15727,-0.045969,-0.0120857,0.00227526,0.00177572,-0.0102734,-0.0203416,0.00173402,0.00318589,-0.0179858,-0.00199248,No,Teosinte
5D5,5D5,Z.luxurians,Z.luxurians,Wild relatives,"Chen et al., 2020",NA,NA,NA,NA,NA,NA,0.07687,-0.0763048,-0.0267982,0.0688837,-0.00216322,0.0424745,0.0953768,-0.027129,-0.0372186,-0.0884626,0.0385473,No,Teosinte
5D7,5D7,Z.diploperenis,Z.diploperenis,Wild relatives,"Chen et al., 2020",NA,NA,NA,NA,NA,NA,0.09115,-0.0797159,-0.0237606,0.0611782,-0.000332143,0.0295589,0.0502789,0.00784718,0.0516536,0.149015,-0.0590461,No,Teosinte
5D8,5D8,Z.nicaraguensis,Z.nicaraguensis,Wild relatives,"Chen et al., 2020",Nicaragua,NA,NA,NA,NA,NA,0.07352,-0.0804389,-0.0259598,0.0735554,-0.00287225,0.0464283,0.104927,-0.0304091,-0.0432423,-0.0990872,0.0432713,No,Teosinte
5D9,5D9,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.19253,-0.0476368,-0.0235199,0.00721759,-0.00200543,-0.0294851,-0.0625376,0.0381919,0.00188606,-0.003526,0.0277489,No,Teosinte
50,50,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.24478,-0.0409248,-0.0156794,-0.00237373,0.00217516,-0.0120632,-0.0251824,0.00689723,0.000553168,-0.0147916,0.000609144,No,Teosinte
50000000000,50000000000,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.15045,-0.0432031,-0.0154342,-0.00342031,0.00360653,-0.0186772,-0.0454342,0.0266515,-5.77206e-07,-0.0055748,0.0159079,No,Teosinte
500000000000,500000000000,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.15257,-0.0453883,-0.0155413,-0.00183178,0.00183467,-0.0181546,-0.0449847,0.0262857,0.00092019,-0.00534429,0.0141535,No,Teosinte
5000000000000,5000000000000,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.17358,-0.0430925,-0.0204448,0.00101065,0.000519225,-0.0211443,-0.0484457,0.0274826,0.00350234,-0.0062791,0.0168306,No,Teosinte
500,500,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.22639,-0.0418357,-0.015758,-0.000151248,0.00134249,-0.0102648,-0.0206412,-0.000137711,0.00322888,-0.0193857,-0.000724289,No,Teosinte
5000,5000,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.24046,-0.0436001,-0.014091,-0.00475045,0.00359686,-0.0103063,-0.0235467,0.000786231,0.00157765,-0.0171769,0.00161369,No,Teosinte
500000,500000,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.24901,-0.0398951,-0.0161172,-0.00176554,-0.00090792,-0.0144097,-0.0235633,-0.00162365,-0.000242671,-0.0186893,-0.00262105,No,Teosinte
5000000,5000000,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.23301,-0.0414994,-0.0126942,-0.00313861,0.00173365,-0.013034,-0.0235251,3.49825e-05,-0.00104077,-0.0176927,-0.00159147,No,Teosinte
50000000,50000000,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.19954,-0.046104,-0.0244759,0.00412133,-0.000720091,-0.027322,-0.0594602,0.0377997,0.00187881,-0.00426994,0.0268502,No,Teosinte
500000000,500000000,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.21014,-0.0515413,-0.0205861,0.00458676,-0.000188922,-0.0300255,-0.0654157,0.038147,0.00140266,-0.00477669,0.0283489,No,Teosinte
5000000000,5000000000,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.18341,-0.0451149,-0.0236677,0.00523578,-0.00319166,-0.0292267,-0.0601244,0.0354476,0.00135188,-0.00572111,0.0246161,No,Teosinte
5F1,5F1,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.22105,-0.0412507,-0.0218093,0.000715356,0.000596001,-0.0226854,-0.0453372,0.0257809,0.00299572,-0.00662582,0.0145722,No,Teosinte
5F10,5F10,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.20475,-0.0487722,-0.0231241,0.00667949,-0.00304009,-0.0304931,-0.0639635,0.0375672,0.00126674,-0.00573393,0.0256984,No,Teosinte
5F11,5F11,Z.parviglumis,Z.parviglumis,Z.parviglumis,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.15461,-0.0475249,-0.0155725,0.00421527,-0.000191712,-0.0129575,-0.0294478,0.00521141,0.0024985,-0.0103845,0.000506044,No,Teosinte
5F12,5F12,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.21402,-0.0508171,-0.0194947,0.00281952,0.00101084,-0.0262557,-0.0646711,0.0363763,0.00121601,-0.00575931,0.0249828,No,Teosinte
5F2,5F2,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.22238,-0.0441083,-0.0190804,0.00131579,-0.00118907,-0.022228,-0.0491103,0.0244027,0.00133414,-0.00407773,0.0159961,No,Teosinte
5F3,5F3,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.1949,-0.0445703,-0.0189412,-0.000886278,0.000886928,-0.0217401,-0.0475299,0.0236818,8.25488e-05,-0.00622827,0.0113157,No,Teosinte
5F4,5F4,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.22419,-0.0425196,-0.0164039,-0.00149974,-0.000301675,-0.0210933,-0.049042,0.0212305,0.00286746,-0.0070922,0.0141665,No,Teosinte
5F5,5F5,Z.mexicana,Z.mexicana,Z.mexicana,"Chen et al., 2020",Mexico,NA,NA,NA,NA,NA,0.20696,-0.0428093,-0.019709,0.00271338,-6.06851e-05,-0.0232061,-0.0479835,0.0243474,0.00303536,-0.00535767,0.0150472,No,Teosinte
